period,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,beta_0,beta_1,beta_2,beta_3,beta_4
22,0.30071889336857244,1.181881119548179,0.15709374635383902,0.26560310804993825,0.11002500039550214,-0.1332189398392768,-4.3918915544281346e-18,-7.433660279913352e-19,-0.2316492971123555,0.0
23,0.30188002147512505,1.1562469318484476,0.15369026587498597,0.282398934057022,0.10519466217003011,-0.12264161318763478,-1.8351780365316544e-19,0.0,-0.267395205048388,-8.673617379884045e-19
24,0.3020617641788125,1.1252992971793456,0.1493756825615188,0.31929040228427535,0.09924291053282874,-0.11109359654304743,0.0,0.0,-0.32206137116021727,-2.168404344971007e-19
25,0.3015498630248736,1.0910035530377191,0.14474299154204098,0.37056763196822895,0.09260526464752826,-0.09901042976365931,0.0,0.0,-0.3893784898512182,0.0
26,0.30067294724628413,1.0556027808602881,0.14039333509071308,0.4291250448753934,0.08582698319653548,-0.08688684432121774,0.0,-5.693944258540719e-21,-0.4617808129047507,-2.16840434497101e-19
27,0.2997592705947585,1.0213842744302388,0.13690168972914346,0.4871918133211904,0.07951427550704072,-0.07523424517651306,0.0,0.0,-0.5311305534091465,0.0
28,0.29908017776318235,0.9903717308449194,0.1347929536361936,0.5374601809508243,0.0742858665039456,-0.06452412588609951,-1.1255442121431182e-18,0.0,-0.5898351881124723,-8.673617379884049e-19
29,0.2988021996532757,0.9640703238348524,0.13449682627680035,0.5739187582041213,0.07070659076914221,-0.05514248292429814,0.0,0.0,-0.6316419888452789,0.0
30,0.29897589957231013,0.9432223226421143,0.13630558596004066,0.592870256755242,0.0692320793258985,-0.047311169650875354,0.0,-2.3304093584081653e-19,-0.6527249869122159,-4.33680868994202e-19
31,0.29958820778168255,0.9280334887816237,0.14037475182441495,0.591867934819709,0.07010046482122087,-0.041122400892773046,-2.0598775171165394e-18,-9.009135601276012e-19,-0.6506088088319921,-4.336808689942085e-19
32,0.300365506970763,0.9167627612813212,0.1466796127348577,0.5761744471133241,0.0734575194129116,-0.0362035764270206,-4.291137373147224e-19,0.0,-0.6308414063851449,0.0
