c_index,context,period,state,action,reward,next_state
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",9,"[18, 5, 0.4]",0.4,0.4,"[17, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",10,"[17, 5, 0.4]",0.4,0.0,"[17, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",11,"[17, 5, 0.4]",0.4,0.0,"[17, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",12,"[17, 5, 0.4]",0.8,0.0,"[17, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",13,"[17, 4, 0.8]",0.8,0.0,"[17, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",14,"[17, 4, 0.8]",0.8,0.8,"[16, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",15,"[16, 4, 0.8]",0.8,0.0,"[16, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",16,"[16, 4, 0.8]",0.8,0.0,"[16, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",17,"[16, 4, 0.8]",0.8,0.8,"[15, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",18,"[15, 4, 0.8]",0.8,0.8,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",19,"[14, 4, 0.8]",0.8,0.0,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",20,"[14, 4, 0.8]",0.8,0.0,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",21,"[14, 4, 0.8]",0.8,0.0,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",22,"[14, 4, 0.8]",0.8,0.0,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",23,"[14, 4, 0.8]",0.8,0.0,"[14, 4, 0.8]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",24,"[14, 4, 0.8]",0.2,0.0,"[14, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",25,"[14, 3, 0.2]",0.2,0.0,"[14, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",26,"[14, 3, 0.2]",0.2,0.0,"[14, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",27,"[14, 3, 0.2]",0.2,0.0,"[14, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",28,"[14, 3, 0.2]",0.2,0.2,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",29,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",30,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",31,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",32,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",33,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",34,"[13, 3, 0.2]",0.2,0.0,"[13, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",35,"[13, 3, 0.2]",0.2,0.2,"[12, 3, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",36,"[12, 3, 0.2]",0.48,0.0,"[12, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",37,"[12, 2, 0.48]",0.48,0.0,"[12, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",38,"[12, 2, 0.48]",0.48,0.48,"[11, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",39,"[11, 2, 0.48]",0.48,0.0,"[11, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",40,"[11, 2, 0.48]",0.48,0.48,"[10, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",41,"[10, 2, 0.48]",0.48,0.0,"[10, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",42,"[10, 2, 0.48]",0.48,0.48,"[9, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",43,"[9, 2, 0.48]",0.48,0.0,"[9, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",44,"[9, 2, 0.48]",0.48,0.0,"[9, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",45,"[9, 2, 0.48]",0.48,0.48,"[8, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",46,"[8, 2, 0.48]",0.48,0.48,"[7, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",47,"[7, 2, 0.48]",0.48,0.0,"[7, 2, 0.48]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",48,"[7, 2, 0.48]",0.7,0.0,"[7, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",49,"[7, 1, 0.7]",0.7,0.0,"[7, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",50,"[7, 1, 0.7]",0.7,0.0,"[7, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",51,"[7, 1, 0.7]",0.7,0.7,"[6, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",52,"[6, 1, 0.7]",0.7,0.7,"[5, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",53,"[5, 1, 0.7]",0.7,0.0,"[5, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",54,"[5, 1, 0.7]",0.7,0.0,"[5, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",55,"[5, 1, 0.7]",0.7,0.0,"[5, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",56,"[5, 1, 0.7]",0.7,0.7,"[4, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",57,"[4, 1, 0.7]",0.7,0.7,"[3, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",58,"[3, 1, 0.7]",0.7,0.7,"[2, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",59,"[2, 1, 0.7]",0.7,0.0,"[2, 1, 0.7]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",60,"[2, 1, 0.7]",0.3,0.3,"[1, 0, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",1,"[25, 6, -1]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",2,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",3,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",4,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",5,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",6,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",7,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",8,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",9,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",10,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",11,"[25, 5, 0.3]",0.3,0.0,"[25, 5, 0.3]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",12,"[25, 5, 0.3]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",13,"[25, 4, 1.0]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",14,"[25, 4, 1.0]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",15,"[25, 4, 1.0]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",16,"[25, 4, 1.0]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",17,"[25, 4, 1.0]",1.0,0.0,"[25, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",18,"[25, 4, 1.0]",1.0,1.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",19,"[24, 4, 1.0]",1.0,0.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",20,"[24, 4, 1.0]",1.0,0.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",21,"[24, 4, 1.0]",1.0,0.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",22,"[24, 4, 1.0]",1.0,0.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",23,"[24, 4, 1.0]",1.0,0.0,"[24, 4, 1.0]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",24,"[24, 4, 1.0]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",25,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",26,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",27,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",28,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",29,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",30,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",31,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",32,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",33,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",34,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",35,"[24, 3, 0.4]",0.4,0.0,"[24, 3, 0.4]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",36,"[24, 3, 0.4]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",37,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",38,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",39,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",40,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",41,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",42,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",43,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",44,"[24, 2, 0.9]",0.9,0.0,"[24, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",45,"[24, 2, 0.9]",0.9,0.9,"[23, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",46,"[23, 2, 0.9]",0.9,0.0,"[23, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",47,"[23, 2, 0.9]",0.9,0.9,"[22, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",48,"[22, 2, 0.9]",0.9,0.9,"[21, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",49,"[21, 2, 0.9]",0.9,0.9,"[20, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",50,"[20, 2, 0.9]",0.9,0.9,"[19, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",51,"[19, 2, 0.9]",0.9,0.0,"[19, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",52,"[19, 2, 0.9]",0.9,0.9,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",53,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
